Tienda,Productos,Ingreso,Fecha
1,25,8246,10/05/2019
1,28,7054,11/05/2019
1,43,6026,12/05/2019
1,44,9487,13/05/2019
1,23,5880,14/05/2019
1,36,6425,15/05/2019
1,15,6275,16/05/2019
1,21,5536,17/05/2019
1,29,7203,18/05/2019
1,19,8496,19/05/2019
1,31,6465,20/05/2019
1,32,6297,21/05/2019
1,49,6443,22/05/2019
1,48,8648,23/05/2019
1,38,6583,24/05/2019
1,41,6875,25/05/2019
1,41,7919,26/05/2019
1,35,5070,27/05/2019
1,42,7772,28/05/2019
1,29,9779,29/05/2019
1,46,8380,30/05/2019
1,27,5985,31/05/2019
1,49,8940,01/06/2019
1,37,7825,02/06/2019
1,29,6839,03/06/2019
1,48,8511,04/06/2019
1,34,9796,05/06/2019
1,33,7976,06/06/2019
1,28,9587,07/06/2019
1,17,6707,08/06/2019
1,42,5470,09/06/2019
1,33,9057,10/06/2019
1,41,8826,11/06/2019
1,37,5039,12/06/2019
1,34,6295,13/06/2019
1,31,6092,14/06/2019
1,29,5286,15/06/2019
1,32,5020,16/06/2019
1,44,5361,17/06/2019
1,35,7652,18/06/2019
1,26,6940,19/06/2019
1,27,9943,20/06/2019
1,32,6871,21/06/2019
1,45,8292,22/06/2019
1,32,6812,23/06/2019
1,39,7811,24/06/2019
1,25,7210,25/06/2019
1,36,9461,26/06/2019
1,46,5519,27/06/2019
1,25,5827,28/06/2019
1,17,8920,29/06/2019
1,19,8973,30/06/2019
1,49,9245,01/07/2019
1,35,8227,02/07/2019
1,44,8262,03/07/2019
1,20,8242,04/07/2019
1,44,8727,05/07/2019
1,43,6679,06/07/2019
1,49,8799,07/07/2019
1,45,6077,08/07/2019
1,45,9802,09/07/2019
1,24,7460,10/07/2019
1,40,6190,11/07/2019
1,42,5405,12/07/2019
1,26,5087,13/07/2019
1,42,9851,14/07/2019
1,47,8283,15/07/2019
1,30,5927,16/07/2019
1,24,5956,17/07/2019
1,37,9733,18/07/2019
1,24,5395,19/07/2019
1,21,8208,20/07/2019
1,21,5205,21/07/2019
1,24,6449,22/07/2019
1,33,7541,23/07/2019
1,20,5477,24/07/2019
1,29,6871,25/07/2019
1,18,9744,26/07/2019
1,40,6843,27/07/2019
1,33,6656,28/07/2019
1,45,5656,29/07/2019
1,36,6446,30/07/2019
1,28,9438,31/07/2019
1,25,6578,01/08/2019
1,50,6086,02/08/2019
1,28,8164,03/08/2019
1,27,5769,04/08/2019
1,33,9495,05/08/2019
1,45,9716,06/08/2019
1,32,7600,07/08/2019
1,27,7914,08/08/2019
1,33,6712,09/08/2019
1,21,7951,10/08/2019
1,17,7166,11/08/2019
1,31,9928,12/08/2019
1,44,9265,13/08/2019
1,42,5190,14/08/2019
1,48,7020,15/08/2019
1,46,5056,16/08/2019
1,17,5674,17/08/2019
1,33,6463,18/08/2019
1,42,5838,19/08/2019
1,43,5143,20/08/2019
1,28,5030,21/08/2019
1,20,6411,22/08/2019
1,32,7712,23/08/2019
1,26,7534,24/08/2019
1,39,7414,25/08/2019
1,46,6742,26/08/2019
1,40,7941,27/08/2019
1,33,8089,28/08/2019
1,33,5346,29/08/2019
1,17,7769,30/08/2019
1,30,5727,31/08/2019
1,23,6012,01/09/2019
1,46,9107,02/09/2019
1,39,5164,03/09/2019
1,26,7899,04/09/2019
1,25,9252,05/09/2019
1,30,6907,06/09/2019
1,42,7635,07/09/2019
1,46,8904,08/09/2019
1,26,7968,09/09/2019
1,16,7733,10/09/2019
1,44,9261,11/09/2019
1,42,9428,12/09/2019
1,40,9888,13/09/2019
1,20,9726,14/09/2019
1,33,7805,15/09/2019
1,35,6149,16/09/2019
1,20,5839,17/09/2019
1,42,6345,18/09/2019
1,32,6010,19/09/2019
1,49,7641,20/09/2019
1,17,7051,21/09/2019
1,47,5421,22/09/2019
1,23,9683,23/09/2019
1,34,5138,24/09/2019
1,36,7609,25/09/2019
1,30,6164,26/09/2019
1,40,5196,27/09/2019
1,37,7983,28/09/2019
1,32,9458,29/09/2019
1,23,5720,30/09/2019
1,48,9818,01/10/2019
1,36,8458,02/10/2019
1,46,7223,03/10/2019
1,23,7199,04/10/2019
1,17,7772,05/10/2019
1,33,8651,06/10/2019
1,46,5255,07/10/2019
1,46,7357,08/10/2019
1,15,9299,09/10/2019
1,20,9084,10/10/2019
1,30,5524,11/10/2019
1,38,8602,12/10/2019
1,33,8610,13/10/2019
1,36,8287,14/10/2019
1,24,5350,15/10/2019
1,20,9436,16/10/2019
1,37,5000,17/10/2019
1,29,9707,18/10/2019
1,30,7400,19/10/2019
1,32,9148,20/10/2019
1,33,5277,21/10/2019
1,43,6010,22/10/2019
1,34,6302,23/10/2019
1,36,9856,24/10/2019
1,49,7209,25/10/2019
1,22,5916,26/10/2019
1,36,8673,27/10/2019
1,39,7342,28/10/2019
1,42,6002,29/10/2019
1,40,8324,30/10/2019
1,32,5964,31/10/2019
1,25,8555,01/11/2019
1,46,7223,02/11/2019
1,49,9232,03/11/2019
1,41,6524,04/11/2019
1,32,6678,05/11/2019
1,33,9460,06/11/2019
1,40,9902,07/11/2019
1,50,8779,08/11/2019
1,27,6894,09/11/2019
1,19,7491,10/11/2019
1,47,9479,11/11/2019
1,27,7208,12/11/2019
1,46,6722,13/11/2019
1,31,7477,14/11/2019
1,43,6624,15/11/2019
1,25,8630,16/11/2019
1,25,9871,17/11/2019
1,46,6707,18/11/2019
1,45,7518,19/11/2019
1,35,9214,20/11/2019
1,31,8275,21/11/2019
1,20,8078,22/11/2019
1,16,6469,23/11/2019
1,32,5657,24/11/2019
1,18,7344,25/11/2019
1,19,6074,26/11/2019
1,35,8313,27/11/2019
1,26,7460,28/11/2019
1,37,6731,29/11/2019
1,28,6637,30/11/2019
1,22,7705,01/12/2019
1,34,8210,02/12/2019
1,42,8593,03/12/2019
1,50,9575,04/12/2019
1,34,7570,05/12/2019
1,28,7213,06/12/2019
1,50,7923,07/12/2019
1,44,8814,08/12/2019
1,42,5380,09/12/2019
1,45,8719,10/12/2019
1,24,5366,11/12/2019
1,27,7108,12/12/2019
1,43,9257,13/12/2019
1,17,7448,14/12/2019
1,42,9466,15/12/2019
1,36,8264,16/12/2019
1,42,6425,17/12/2019
1,27,7986,18/12/2019
1,33,5823,19/12/2019
1,48,8081,20/12/2019
1,42,6286,21/12/2019
1,24,8148,22/12/2019
1,44,7644,23/12/2019
1,47,6074,24/12/2019
1,45,9646,25/12/2019
1,24,6001,26/12/2019
1,21,6507,27/12/2019
1,16,7959,28/12/2019
1,46,9222,29/12/2019
1,48,7365,30/12/2019
1,44,5601,31/12/2019
1,27,6889,01/01/2020
1,47,7337,02/01/2020
1,49,7976,03/01/2020
1,27,6835,04/01/2020
1,24,7101,05/01/2020
1,50,9431,06/01/2020
1,49,5355,07/01/2020
1,37,6723,08/01/2020
1,17,9543,09/01/2020
1,34,8529,10/01/2020
1,23,5885,11/01/2020
1,45,5016,12/01/2020
1,48,6189,13/01/2020
1,48,5459,14/01/2020
1,25,5152,15/01/2020
1,31,6399,16/01/2020
1,21,6994,17/01/2020
1,17,6703,18/01/2020
1,30,5329,19/01/2020
1,45,9664,20/01/2020
1,27,6408,21/01/2020
1,38,6354,22/01/2020
1,16,6913,23/01/2020
1,40,9759,24/01/2020
1,39,8715,25/01/2020
1,32,9376,26/01/2020
1,36,5393,27/01/2020
1,25,7166,28/01/2020
1,50,9175,29/01/2020
1,26,6337,30/01/2020
1,21,8782,31/01/2020
1,17,7876,01/02/2020
1,15,9292,02/02/2020
1,38,5664,03/02/2020
1,49,5923,04/02/2020
1,32,7037,05/02/2020
1,24,6023,06/02/2020
1,47,9209,07/02/2020
1,39,5652,08/02/2020
1,29,6782,09/02/2020
1,37,7738,10/02/2020
1,34,8817,11/02/2020
1,45,8401,12/02/2020
1,41,6960,13/02/2020
1,46,6298,14/02/2020
1,48,7921,15/02/2020
1,45,7774,16/02/2020
1,45,7077,17/02/2020
1,40,6730,18/02/2020
1,40,5614,19/02/2020
1,27,5621,20/02/2020
1,30,8630,21/02/2020
1,36,7446,22/02/2020
1,40,8030,23/02/2020
1,36,9482,24/02/2020
1,19,5901,25/02/2020
1,36,7232,26/02/2020
1,28,6725,27/02/2020
1,46,8463,28/02/2020
1,32,8259,29/02/2020
1,16,9514,01/03/2020
1,25,8957,02/03/2020
1,44,6742,03/03/2020
1,34,7928,04/03/2020
1,18,8926,05/03/2020
1,37,9953,06/03/2020
1,26,5370,07/03/2020
1,27,9232,08/03/2020
1,49,8381,09/03/2020
1,37,7962,10/03/2020
1,37,6112,11/03/2020
1,37,6493,12/03/2020
1,26,7723,13/03/2020
1,39,6001,14/03/2020
1,22,9245,15/03/2020
1,49,6118,16/03/2020
1,48,9779,17/03/2020
1,39,9363,18/03/2020
1,27,9872,19/03/2020
1,15,6591,20/03/2020
1,29,8914,21/03/2020
1,23,5461,22/03/2020
1,31,8064,23/03/2020
1,40,7754,24/03/2020
1,20,6383,25/03/2020
1,45,6075,26/03/2020
1,20,9703,27/03/2020
1,27,7147,28/03/2020
1,29,9659,29/03/2020
1,50,5859,30/03/2020
1,32,6705,31/03/2020
1,34,9851,01/04/2020
1,18,7929,02/04/2020
1,41,6737,03/04/2020
1,16,9265,04/04/2020
1,41,6911,05/04/2020
1,24,7415,06/04/2020
1,23,5904,07/04/2020
1,20,9254,08/04/2020
1,16,7205,09/04/2020
1,19,5963,10/04/2020
1,20,7528,11/04/2020
1,18,6808,12/04/2020
1,39,7545,13/04/2020
1,20,6647,14/04/2020
1,45,9132,15/04/2020
1,42,6681,16/04/2020
1,33,7083,17/04/2020
1,25,5558,18/04/2020
1,29,6155,19/04/2020
1,25,5707,20/04/2020
1,17,8633,21/04/2020
1,22,9737,22/04/2020
1,41,5150,23/04/2020
1,20,7593,24/04/2020
1,38,7112,25/04/2020
1,30,6885,26/04/2020
1,41,7704,27/04/2020
1,17,8120,28/04/2020
1,20,7751,29/04/2020
1,26,6351,30/04/2020
1,24,6664,01/05/2020
1,35,7199,02/05/2020
1,50,5691,03/05/2020
1,43,9978,04/05/2020
1,50,8103,05/05/2020
1,27,8257,06/05/2020
1,23,9970,07/05/2020
1,22,7726,08/05/2020
1,41,6354,09/05/2020
1,45,7802,10/05/2020
1,22,8317,11/05/2020
1,44,5053,12/05/2020
1,34,9880,13/05/2020
1,18,6249,14/05/2020
1,41,9753,15/05/2020
1,32,5758,16/05/2020
1,27,5322,17/05/2020
1,36,8393,18/05/2020
1,28,5865,19/05/2020
1,33,7418,20/05/2020
1,44,6387,21/05/2020
1,30,9345,22/05/2020
1,28,9213,23/05/2020
1,29,8216,24/05/2020
1,41,6236,25/05/2020
1,32,6676,26/05/2020
1,24,7071,27/05/2020
1,41,7607,28/05/2020
1,45,8027,29/05/2020
1,23,7276,30/05/2020
1,47,7652,31/05/2020
1,23,6513,01/06/2020
1,42,9944,02/06/2020
1,42,6873,03/06/2020
1,32,9553,04/06/2020
1,25,8538,05/06/2020
1,47,9037,06/06/2020
1,25,7730,07/06/2020
1,30,9100,08/06/2020
1,46,6626,09/06/2020
1,19,8460,10/06/2020
1,16,9377,11/06/2020
1,20,6303,12/06/2020
1,22,5159,13/06/2020
1,24,8323,14/06/2020
1,40,8278,15/06/2020
1,37,6058,16/06/2020
1,47,9163,17/06/2020
1,48,8011,18/06/2020
1,45,9295,19/06/2020
1,16,5473,20/06/2020
1,22,7106,21/06/2020
1,23,8468,22/06/2020
1,42,5816,23/06/2020
1,21,5665,24/06/2020
1,37,7521,25/06/2020
1,40,8403,26/06/2020
1,47,9259,27/06/2020
1,32,8261,28/06/2020
1,21,8280,29/06/2020
1,45,6498,30/06/2020
1,48,6078,01/07/2020
1,33,5217,02/07/2020
1,29,9628,03/07/2020
1,19,6515,04/07/2020
1,31,5943,05/07/2020
1,16,6665,06/07/2020
1,25,8312,07/07/2020
1,19,7305,08/07/2020
1,48,8103,09/07/2020
1,29,5443,10/07/2020
1,41,7325,11/07/2020
1,50,7765,12/07/2020
1,20,7207,13/07/2020
1,41,7482,14/07/2020
1,31,5087,15/07/2020
1,30,8438,16/07/2020
1,24,6353,17/07/2020
1,48,9067,18/07/2020
1,43,5056,19/07/2020
1,29,8276,20/07/2020
1,25,5893,21/07/2020
1,40,5945,22/07/2020
1,46,9863,23/07/2020
1,44,5728,24/07/2020
1,17,5195,25/07/2020
1,15,7804,26/07/2020
1,47,7838,27/07/2020
1,33,5995,28/07/2020
1,21,5433,29/07/2020
1,37,6695,30/07/2020
1,43,6628,31/07/2020
1,49,8742,01/08/2020
1,28,9229,02/08/2020
1,46,9541,03/08/2020
1,42,8925,04/08/2020
1,39,6442,05/08/2020
1,16,5631,06/08/2020
1,39,6961,07/08/2020
1,26,9973,08/08/2020
1,18,7270,09/08/2020
1,43,6270,10/08/2020
1,27,6140,11/08/2020
1,38,6086,12/08/2020
1,45,5538,13/08/2020
1,20,9557,14/08/2020
1,43,6196,15/08/2020
1,17,9701,16/08/2020
1,16,8218,17/08/2020
1,23,8863,18/08/2020
1,28,7704,19/08/2020
1,31,8073,20/08/2020
1,35,5244,21/08/2020
1,19,7974,22/08/2020
1,50,7602,23/08/2020
1,40,6372,24/08/2020
1,24,5166,25/08/2020
1,39,9304,26/08/2020
1,44,5786,27/08/2020
1,42,8086,28/08/2020
1,46,6202,29/08/2020
1,37,9154,30/08/2020
1,31,6073,31/08/2020
1,26,6008,01/09/2020
1,48,5226,02/09/2020
1,31,7251,03/09/2020
1,42,5694,04/09/2020
1,39,8235,05/09/2020
1,18,6336,06/09/2020
1,49,9173,07/09/2020
1,19,6158,08/09/2020
1,28,6753,09/09/2020
1,24,8193,10/09/2020
1,25,7403,11/09/2020
1,43,6210,12/09/2020
1,37,8272,13/09/2020
1,39,9255,14/09/2020
1,28,6075,15/09/2020
1,47,8007,16/09/2020
1,34,6791,17/09/2020
1,43,7617,18/09/2020
1,27,8032,19/09/2020
1,28,7516,20/09/2020
1,16,6485,21/09/2020
1,28,9730,22/09/2020
1,39,5806,23/09/2020
1,25,8841,24/09/2020
1,16,7050,25/09/2020
1,24,5016,26/09/2020
1,18,8800,27/09/2020
1,39,9015,28/09/2020
1,44,9058,29/09/2020
1,21,8299,30/09/2020
1,43,5940,01/10/2020
1,33,7373,02/10/2020
1,28,5441,03/10/2020
1,16,8074,04/10/2020
1,48,6460,05/10/2020
1,16,8542,06/10/2020
1,37,8571,07/10/2020
1,31,6138,08/10/2020
1,49,8687,09/10/2020
1,24,8279,10/10/2020
1,50,9185,11/10/2020
1,15,7807,12/10/2020
1,41,6794,13/10/2020
1,33,7864,14/10/2020
1,24,9825,15/10/2020
1,28,8970,16/10/2020
1,29,7422,17/10/2020
1,39,7229,18/10/2020
1,29,7593,19/10/2020
1,28,5976,20/10/2020
1,37,7021,21/10/2020
1,29,7332,22/10/2020
1,35,6269,23/10/2020
1,42,6436,24/10/2020
1,27,9358,25/10/2020
1,22,8500,26/10/2020
1,16,9978,27/10/2020
1,47,6432,28/10/2020
1,34,7837,29/10/2020
1,38,9917,30/10/2020
1,30,7302,31/10/2020
1,41,7551,01/11/2020
1,46,8203,02/11/2020
1,23,5133,03/11/2020
1,33,6116,04/11/2020
1,45,8785,05/11/2020
1,45,9863,06/11/2020
1,31,9492,07/11/2020
1,27,5973,08/11/2020
1,47,9488,09/11/2020
1,31,6133,10/11/2020
1,36,8165,11/11/2020
1,49,8607,12/11/2020
1,26,9406,13/11/2020
1,50,9910,14/11/2020
1,48,5633,15/11/2020
1,27,7526,16/11/2020
1,20,5761,17/11/2020
1,23,7033,18/11/2020
1,27,5660,19/11/2020
1,39,7476,20/11/2020
1,29,6054,21/11/2020
1,35,7855,22/11/2020
1,50,5897,23/11/2020
1,39,9270,24/11/2020
1,36,6624,25/11/2020
1,38,6164,26/11/2020
1,15,5550,27/11/2020
1,42,5107,28/11/2020
1,15,8065,29/11/2020
1,37,9101,30/11/2020
1,15,8240,01/12/2020
1,25,6127,02/12/2020
1,22,5557,03/12/2020
1,15,9855,04/12/2020
1,26,5959,05/12/2020
1,37,5317,06/12/2020
1,41,6620,07/12/2020
1,47,7628,08/12/2020
1,34,9427,09/12/2020
1,29,7186,10/12/2020
1,44,9598,11/12/2020
1,47,9555,12/12/2020
1,44,6673,13/12/2020
1,17,7573,14/12/2020
1,33,7072,15/12/2020
1,41,7325,16/12/2020
1,35,5102,17/12/2020
1,23,5229,18/12/2020
1,45,6660,19/12/2020
1,44,6374,20/12/2020
1,25,9478,21/12/2020
1,27,5655,22/12/2020
1,31,9398,23/12/2020
1,41,5430,24/12/2020
1,25,6101,25/12/2020
1,16,9230,26/12/2020
1,16,6444,27/12/2020
1,39,7303,28/12/2020
1,50,8324,29/12/2020
1,16,9225,30/12/2020
1,29,9751,31/12/2020
1,32,8649,01/01/2021
1,36,5253,02/01/2021
1,33,8105,03/01/2021
1,33,7837,04/01/2021
1,41,6673,05/01/2021
1,16,8919,06/01/2021
1,42,8068,07/01/2021
1,26,5025,08/01/2021
1,43,6712,09/01/2021
1,41,9281,10/01/2021
1,30,8965,11/01/2021
1,15,5875,12/01/2021
1,23,6993,13/01/2021
1,47,9230,14/01/2021
1,34,6149,15/01/2021
1,31,9670,16/01/2021
1,34,9797,17/01/2021
1,33,6375,18/01/2021
1,30,9970,19/01/2021
1,35,6886,20/01/2021
1,44,9877,21/01/2021
1,43,5911,22/01/2021
1,19,9670,23/01/2021
1,24,5193,24/01/2021
1,47,9517,25/01/2021
1,40,5629,26/01/2021
1,22,9669,27/01/2021
1,45,6974,28/01/2021
1,32,6229,29/01/2021
1,45,8150,30/01/2021
1,16,5242,31/01/2021
1,49,7423,01/02/2021
1,18,6103,02/02/2021
1,41,7229,03/02/2021
1,36,7193,04/02/2021
1,35,7126,05/02/2021
1,31,5201,06/02/2021
1,43,6333,07/02/2021
1,38,8355,08/02/2021
1,43,8051,09/02/2021
1,40,8462,10/02/2021
1,43,7226,11/02/2021
1,36,8061,12/02/2021
1,38,8814,13/02/2021
1,15,8500,14/02/2021
1,38,9340,15/02/2021
1,25,6955,16/02/2021
1,50,5141,17/02/2021
1,47,7526,18/02/2021
1,36,7986,19/02/2021
1,33,8405,20/02/2021
1,21,5254,21/02/2021
1,21,5684,22/02/2021
1,39,8610,23/02/2021
1,20,5904,24/02/2021
1,41,7851,25/02/2021
1,32,8499,26/02/2021
1,15,6990,27/02/2021
1,34,7959,28/02/2021
1,46,6953,01/03/2021
1,40,7026,02/03/2021
1,18,8091,03/03/2021
1,46,7720,04/03/2021
1,25,6282,05/03/2021
1,19,6964,06/03/2021
1,36,9878,07/03/2021
1,45,5341,08/03/2021
1,34,7812,09/03/2021
1,37,7053,10/03/2021
1,25,9784,11/03/2021
1,29,5957,12/03/2021
1,17,8991,13/03/2021
1,39,9157,14/03/2021
1,18,7692,15/03/2021
1,33,8984,16/03/2021
1,33,8337,17/03/2021
1,37,7474,18/03/2021
1,31,6600,19/03/2021
1,17,9636,20/03/2021
1,37,7818,21/03/2021
1,40,7601,22/03/2021
1,16,8402,23/03/2021
1,43,5009,24/03/2021
1,50,7839,25/03/2021
1,47,7868,26/03/2021
1,40,9660,27/03/2021
1,43,6130,28/03/2021
1,21,7652,29/03/2021
1,21,9588,30/03/2021
1,25,7154,31/03/2021
1,25,6809,01/04/2021
1,29,6547,02/04/2021
1,26,6193,03/04/2021
1,25,5469,04/04/2021
1,40,7692,05/04/2021
1,17,7296,06/04/2021
1,17,5608,07/04/2021
1,33,7142,08/04/2021
1,32,9567,09/04/2021
1,25,9010,10/04/2021
1,24,8556,11/04/2021
1,40,7106,12/04/2021
1,28,9665,13/04/2021
1,18,5598,14/04/2021
1,23,8752,15/04/2021
1,19,9442,16/04/2021
1,31,8826,17/04/2021
1,25,9932,18/04/2021
1,44,6525,19/04/2021
1,37,9830,20/04/2021
1,34,8355,21/04/2021
1,36,7556,22/04/2021
1,30,8458,23/04/2021
1,19,6909,24/04/2021
1,36,5325,25/04/2021
1,26,5393,26/04/2021
1,44,6379,27/04/2021
1,50,8807,28/04/2021
1,48,8334,29/04/2021
1,50,9825,30/04/2021
1,31,8538,01/05/2021
1,30,6788,02/05/2021
1,29,6480,03/05/2021
1,38,9958,04/05/2021
1,45,9474,05/05/2021
1,33,8424,06/05/2021
1,30,6049,07/05/2021
1,47,5494,08/05/2021
1,23,7956,09/05/2021
1,50,6133,10/05/2021
1,46,8646,11/05/2021
1,32,9081,12/05/2021
1,19,9954,13/05/2021
1,36,8376,14/05/2021
1,42,6707,15/05/2021
1,16,7378,16/05/2021
1,29,7188,17/05/2021
1,30,7381,18/05/2021
1,36,7037,19/05/2021
1,21,7565,20/05/2021
1,19,8735,21/05/2021
1,36,6069,22/05/2021
1,43,6114,23/05/2021
1,45,9866,24/05/2021
1,45,7713,25/05/2021
1,37,6761,26/05/2021
1,30,5418,27/05/2021
1,41,7312,28/05/2021
1,21,5802,29/05/2021
1,39,6725,30/05/2021
1,26,8984,31/05/2021
1,50,5483,01/06/2021
1,25,9203,02/06/2021
1,25,5084,03/06/2021
1,50,8233,04/06/2021
1,23,5279,05/06/2021
1,20,6809,06/06/2021
1,15,7493,07/06/2021
1,26,9243,08/06/2021
1,29,8490,09/06/2021
1,33,9582,10/06/2021
1,45,5439,11/06/2021
1,21,6101,12/06/2021
1,18,9507,13/06/2021
1,35,9533,14/06/2021
1,22,9645,15/06/2021
1,39,7005,16/06/2021
1,32,6757,17/06/2021
1,30,7204,18/06/2021
1,30,8929,19/06/2021
1,50,5713,20/06/2021
1,35,6243,21/06/2021
1,48,8660,22/06/2021
1,28,6912,23/06/2021
1,37,5819,24/06/2021
1,32,9468,25/06/2021
1,41,5271,26/06/2021
1,39,7584,27/06/2021
1,36,6299,28/06/2021
1,39,8764,29/06/2021
1,24,8457,30/06/2021
1,24,7308,01/07/2021
1,23,8780,02/07/2021
1,39,6509,03/07/2021
1,19,5092,04/07/2021
1,24,5893,05/07/2021
1,23,5222,06/07/2021
1,15,8179,07/07/2021
1,29,7943,08/07/2021
1,27,8252,09/07/2021
1,26,9120,10/07/2021
1,15,8991,11/07/2021
1,43,5801,12/07/2021
1,18,9070,13/07/2021
1,43,6032,14/07/2021
1,37,8524,15/07/2021
1,43,6782,16/07/2021
1,48,5452,17/07/2021
1,41,5538,18/07/2021
1,15,5860,19/07/2021
1,15,7090,20/07/2021
1,30,8236,21/07/2021
1,24,7868,22/07/2021
1,28,5445,23/07/2021
1,45,5225,24/07/2021
1,25,6372,25/07/2021
1,27,8234,26/07/2021
1,31,6935,27/07/2021
1,23,9700,28/07/2021
1,49,7048,29/07/2021
1,33,5454,30/07/2021
1,28,9947,31/07/2021
1,40,6668,01/08/2021
1,26,5141,02/08/2021
1,24,6768,03/08/2021
1,43,5210,04/08/2021
1,40,5448,05/08/2021
1,24,7789,06/08/2021
1,38,7387,07/08/2021
1,19,8119,08/08/2021
1,38,9191,09/08/2021
1,49,5502,10/08/2021
1,30,7270,11/08/2021
1,38,6578,12/08/2021
1,35,6081,13/08/2021
1,38,7826,14/08/2021
1,31,6159,15/08/2021
1,20,9058,16/08/2021
1,19,7918,17/08/2021
1,27,5616,18/08/2021
1,39,9855,19/08/2021
1,17,5980,20/08/2021
1,17,5682,21/08/2021
1,30,8167,22/08/2021
1,46,7617,23/08/2021
1,39,8848,24/08/2021
1,34,5266,25/08/2021
1,27,9249,26/08/2021
1,24,8466,27/08/2021
1,37,5301,28/08/2021
1,45,9915,29/08/2021
1,44,8932,30/08/2021
1,22,7381,31/08/2021
1,20,7925,01/09/2021
1,50,7625,02/09/2021
1,41,5755,03/09/2021
1,31,8095,04/09/2021
1,32,5014,05/09/2021
1,28,8616,06/09/2021
1,30,7115,07/09/2021
1,35,6075,08/09/2021
1,29,5030,09/09/2021
1,41,9329,10/09/2021
1,39,6890,11/09/2021
1,36,8187,12/09/2021
1,24,9851,13/09/2021
1,46,6881,14/09/2021
1,44,9544,15/09/2021
1,25,7597,16/09/2021
1,23,5185,17/09/2021
1,36,8253,18/09/2021
1,35,6403,19/09/2021
1,24,6316,20/09/2021
1,39,9959,21/09/2021
1,17,8298,22/09/2021
1,45,5620,23/09/2021
